Time	U1	Uc1	I2	U2
0.036600	-3.400000	-4.903893	-0.001078	-0.470763
0.036700	-3.300000	-4.805663	-0.001059	-0.474873
0.036800	-3.200000	-4.707276	-0.001039	-0.478907
0.036900	-3.100000	-4.608743	-0.001019	-0.482865
0.037000	-3.000000	-4.510072	-0.000999	-0.486747
0.037100	-2.900000	-4.411273	-0.000979	-0.490553
0.037200	-2.800000	-4.312354	-0.000960	-0.494282
0.037300	-2.700000	-4.213323	-0.000940	-0.497934
0.037400	-2.600000	-4.114186	-0.000920	-0.501509
0.037500	-2.500000	-4.014950	-0.000899	-0.505007
0.037600	-2.400000	-3.915623	-0.000879	-0.508428
0.037700	-2.300000	-3.816208	-0.000859	-0.511771
0.037800	-2.200000	-3.716713	-0.000839	-0.515036
0.037900	-2.100000	-3.617142	-0.000819	-0.518224
0.038000	-2.000000	-3.517500	-0.000798	-0.521334
0.038100	-1.900000	-3.417792	-0.000778	-0.524366
0.038200	-1.800000	-3.318021	-0.000758	-0.527320
0.038300	-1.700000	-3.218192	-0.000737	-0.530195
0.038400	-1.600000	-3.118309	-0.000717	-0.532993
0.038500	-1.500000	-3.018375	-0.000697	-0.535711
0.038600	-1.400000	-2.918392	-0.000676	-0.538352
0.038700	-1.300000	-2.818365	-0.000656	-0.540913
0.038800	-1.200000	-2.718296	-0.000635	-0.543396
0.038900	-1.100000	-2.618188	-0.000615	-0.545800
0.039000	-1.000000	-2.518043	-0.000594	-0.548125
0.039100	-0.900000	-2.417863	-0.000574	-0.550370
0.039200	-0.800000	-2.317652	-0.000553	-0.552537
0.039300	-0.700000	-2.217410	-0.000533	-0.554625
0.039400	-0.600000	-2.117139	-0.000512	-0.556634
0.039500	-0.500000	-2.016843	-0.000491	-0.558563
0.039600	-0.400000	-1.916521	-0.000471	-0.560413
0.039700	-0.300000	-1.816176	-0.000450	-0.562184
0.039800	-0.200000	-1.715810	-0.000429	-0.563875
0.039900	-0.100000	-1.615423	-0.000409	-0.565487
0.040000	0.000000	-1.515017	-0.000388	-0.567020
0.040100	0.100000	-1.414593	-0.000367	-0.568473
0.040200	0.200000	-1.314153	-0.000347	-0.569846
0.040300	0.300000	-1.213697	-0.000326	-0.571140
0.040400	0.400000	-1.113226	-0.000305	-0.572355
0.040500	0.500000	-1.012742	-0.000285	-0.573490
0.040600	0.600000	-0.912244	-0.000264	-0.574545
0.040700	0.700000	-0.811735	-0.000243	-0.575521
0.040800	0.800000	-0.711215	-0.000223	-0.576417
0.040900	0.900000	-0.610684	-0.000202	-0.577234
0.041000	1.000000	-0.510143	-0.000181	-0.577971
0.041100	1.100000	-0.409593	-0.000161	-0.578629
0.041200	1.200000	-0.309035	-0.000140	-0.579207
0.041300	1.300000	-0.208468	-0.000119	-0.579706
0.041400	1.400000	-0.107895	-0.000099	-0.580125
0.041500	1.500000	-0.007314	-0.000078	-0.580465
0.041600	1.600000	0.093274	-0.000057	-0.580725
0.041700	1.700000	0.193867	-0.000037	-0.580907
0.041800	1.800000	0.294466	-0.000016	-0.581008
0.041900	1.900000	0.395070	0.000004	-0.581031
0.042000	2.000000	0.495679	0.000025	-0.580974
0.042100	2.100000	0.596293	0.000046	-0.580838
0.042200	2.200000	0.696911	0.000066	-0.580623
0.042300	2.300000	0.797532	0.000087	-0.580329
0.042400	2.400000	0.898158	0.000107	-0.579956
0.042500	2.500000	0.998787	0.000128	-0.579504
0.042600	2.600000	1.099418	0.000148	-0.578973
0.042700	2.700000	1.200053	0.000169	-0.578364
0.042800	2.800000	1.300690	0.000189	-0.577676
0.042900	2.900000	1.401330	0.000210	-0.576909
0.043000	3.000000	1.501972	0.000230	-0.576063
0.043100	3.100000	1.602616	0.000250	-0.575139
0.043200	3.200000	1.703262	0.000271	-0.574137
0.043300	3.300000	1.803909	0.000291	-0.573057
0.043400	3.400000	1.904558	0.000311	-0.571898
0.043500	3.500000	2.005208	0.000332	-0.570662
0.043600	3.600000	2.105859	0.000352	-0.569347
0.043700	3.700000	2.206512	0.000372	-0.567955
0.043800	3.800000	2.307165	0.000392	-0.566485
0.043900	3.900000	2.407819	0.000412	-0.564937
0.044000	4.000000	2.508474	0.000433	-0.563312
0.044100	4.100000	2.609130	0.000453	-0.561610
0.044200	4.200000	2.709786	0.000473	-0.559830
0.044300	4.300000	2.810442	0.000493	-0.557973
0.044400	4.400000	2.911098	0.000513	-0.556040
0.044500	4.500000	3.011755	0.000533	-0.554029
0.044600	4.600000	3.112412	0.000553	-0.551942
0.044700	4.700000	3.213068	0.000572	-0.549778
0.044800	4.800000	3.313725	0.000592	-0.547538
0.044900	4.900000	3.414381	0.000612	-0.545222
0.045000	5.000000	3.515037	0.000632	-0.542830
0.045100	5.100000	3.615693	0.000652	-0.540362
0.045200	5.200000	3.716348	0.000671	-0.537818
0.045300	5.300000	3.817003	0.000691	-0.535199
0.045400	5.400000	3.917658	0.000710	-0.532504
0.045500	5.500000	4.018312	0.000730	-0.529734
0.045600	5.600000	4.118965	0.000749	-0.526890
0.045700	5.700000	4.219617	0.000769	-0.523970
0.045800	5.800000	4.320269	0.000788	-0.520975
0.045900	5.900000	4.420920	0.000808	-0.517907
0.046000	6.000000	4.521570	0.000827	-0.514764
0.046100	6.100000	4.622219	0.000846	-0.511546
0.046200	6.200000	4.722867	0.000865	-0.508255
0.046300	6.300000	4.823514	0.000884	-0.504890
0.046400	6.400000	4.924160	0.000903	-0.501452
0.046500	6.500000	5.024804	0.000922	-0.497941
0.046600	6.600000	5.125448	0.000941	-0.494356
0.046700	6.700000	5.226091	0.000960	-0.490699
0.046800	6.800000	5.326732	0.000979	-0.486969
0.046900	6.900000	5.427372	0.000998	-0.483167
0.047000	7.000000	5.528010	0.001017	-0.479292
0.047100	7.100000	5.628647	0.001035	-0.475345
0.047200	7.200000	5.729283	0.001054	-0.471327
0.047300	7.300000	5.829917	0.001073	-0.467238
0.047400	7.400000	5.930550	0.001091	-0.463077
0.047500	7.500000	6.031181	0.001110	-0.458845
0.047600	7.600000	6.131811	0.001128	-0.454542
0.047700	7.700000	6.232439	0.001146	-0.450169
0.047800	7.800000	6.333066	0.001164	-0.445725
0.047900	7.900000	6.433691	0.001183	-0.441212
0.048000	8.000000	6.534314	0.001201	-0.436629
0.048100	8.100000	6.634935	0.001219	-0.431976
0.048200	8.200000	6.735555	0.001237	-0.427254
0.048300	8.300000	6.836172	0.001255	-0.422463
0.048400	8.400000	6.936788	0.001272	-0.417604
0.048500	8.500000	7.037402	0.001290	-0.412676
0.048600	8.600000	7.138015	0.001308	-0.407680
0.048700	8.700000	7.238625	0.001325	-0.402616
0.048800	8.800000	7.339233	0.001343	-0.397484
0.048900	8.900000	7.439839	0.001360	-0.392285
0.049000	9.000000	7.540444	0.001378	-0.387019
0.049100	9.100000	7.641046	0.001395	-0.381687
0.049200	9.200000	7.741646	0.001412	-0.376288
0.049300	9.300000	7.842244	0.001430	-0.370822
0.049400	9.400000	7.942840	0.001447	-0.365291
0.049500	9.500000	8.043434	0.001464	-0.359695
0.049600	9.600000	8.144025	0.001481	-0.354033
0.049700	9.700000	8.244614	0.001497	-0.348306
